prime,target,condition,correctAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fix_text.started,blank1_bg.started,fix_text.stopped,prime_text.started,blank1_bg.stopped,prime_text.stopped,blank2_bg.started,blank2_bg.stopped,target_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback_correct.started,greenCircle.started,redCrosss.started,blank3_bg.started,greenCircle.stopped,redCrosss.stopped,blank3_bg.stopped,feedback_correct.stopped,thanks.started,text_3.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
The dog is barking loudly,The dog is barking loudly,repetition_related,right,85,5,5,right,1,1.8123087080020923,None,5,5,85,12,483.60424858299666,,,,,,,,,483.5985249170044,483.60905079200165,483.86214408300293,483.8545975419984,484.06053379199875,484.06053379199875,484.254361875006,484.254361875006,484.34365141700255,484.36129499999515,484.36129499999515,486.17914245800057,right,1,1.8123087080020923,None,486.17942299999413,486.1904130000039,486.1904130000039,486.37976908299606,486.3869115830021,486.3869115830021,487.1814056669973,487.1699849169963,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The dog is barking loudly,The dog barking is loudly,transposition_related,right,86,6,5,left,0,0.8068847079994157,None,5,6,86,14,487.1814056669973,,,,,,,,,487.1756310829951,487.1814056669973,487.42967037500057,487.42967037500057,487.6242982499971,487.6242982499971,487.8212235420069,487.82759604199964,487.92105766700115,487.9276142500021,487.9276142500021,488.73980749999464,left,0,0.8068847079994157,None,488.7403631250054,488.7523985000007,488.7523985000007,488.9375718749943,488.9440549580031,488.9440549580031,489.73775800000294,489.72079308300454,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
She does not like apples,She not does like apples,repetition_unrelated,left,87,7,5,left,1,0.8524397500004852,None,5,7,87,5,489.73775800000294,,,,,,,,,489.7328777079965,489.7542733750015,489.9877032499935,489.9958340000012,490.18802887499623,490.17611187500006,490.37671854200016,490.38804991700454,490.4766468750022,490.48795475000225,490.48795475000225,491.345261208,left,1,0.8524397500004852,None,491.34555450000335,491.357043416996,491.357043416996,491.54566854200675,491.55288758300594,491.55288758300594,492.3536409579974,492.33700820799277,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
They have finished the work,They finished have the work,transposition_related,right,88,8,5,left,0,2.014103207999142,None,5,8,88,10,492.3536409579974,,,,,,,,,492.34804487500514,492.3536409579974,492.59653229199466,492.59653229199466,492.787011583001,492.787011583001,492.9763340000063,492.9935280829959,493.0877237079985,493.09426650000387,493.09426650000387,495.11196670800564,left,0,2.014103207999142,None,495.11224625000614,495.1240209170064,495.1240209170064,495.3128505420027,495.3195989999949,495.3195989999949,496.11514008299855,496.10352575000434,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
They have finished the work,They have finished the work,repetition_related,right,89,9,5,right,1,1.3620836250047432,None,5,9,89,8,496.11514008299855,,,,,,,,,496.1098323329934,496.11514008299855,496.36283170800016,496.36283170800016,496.55995829199674,496.55995829199674,496.7543723330018,496.7607487500063,496.85446687499643,496.8612261249946,496.8612261249946,498.2288504169992,right,1,1.3620836250047432,None,498.2291252080031,498.2403809170064,498.2403809170064,498.4294824999961,498.43646500000614,498.43646500000614,499.23670495800616,499.22138395799266,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The boy can read fast,The boy can read fast,transposition_related,right,90,10,5,right,1,1.1584563750075176,None,5,10,90,2,499.23670495800616,,,,,,,,,499.23128720799286,499.23670495800616,499.47921308300283,499.47921308300283,499.67074849999335,499.67074849999335,499.8596977080015,499.8775710829941,499.971279874997,499.9778059579985,499.9778059579985,501.139912832994,right,1,1.1584563750075176,None,501.1402815420006,501.1517842080066,501.1517842080066,501.33623720800097,501.34293450000405,501.34293450000405,502.13572429200576,502.1202965419943,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
She does not like apples,She like does apples not,transposition_unrelated,left,91,11,5,left,1,1.0892780830035917,None,5,11,91,7,502.13572429200576,,,,,,,,,502.13089570800366,502.1403597919998,502.3876984170056,502.3876984170056,502.5877582499961,502.5766356249951,502.776454167004,502.7880737499945,502.8767870419979,502.8878064169985,502.8878064169985,503.9894227920013,left,1,1.0892780830035917,None,503.9898486250022,504.00148083300155,504.00148083300155,504.1861928330036,504.19390670799476,504.19390670799476,504.98353941699315,504.9698224169988,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The boy can read fast,The read can boy fast,transposition_unrelated,left,92,12,5,left,1,1.9559372490039095,None,5,12,92,3,504.98353941699315,,,,,,,,,504.9787173749937,504.98861095799657,505.23755049999454,505.22507787500217,505.4375869170035,505.42624283299665,505.62639770799433,505.63789250000264,505.726703458,505.7379926249996,505.7379926249996,507.70607975000166,left,1,1.9559372490039095,None,507.7065020000009,507.71817666699644,507.71817666699644,507.90291495800193,507.9110049580049,507.9110049580049,508.70363679199363,508.6879631670017,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The dog is barking loudly,The loudly is barking dog,repetition_unrelated,left,93,13,5,left,1,1.0584540819982067,None,5,13,93,13,508.70363679199363,,,,,,,,,508.6988217920007,508.7209439580038,508.9542697919969,508.96182783300173,509.1545295830001,509.1545295830001,509.3430410419969,509.3545336249954,509.44298933299433,509.4544995000033,509.4544995000033,510.52271908300463,left,1,1.0584540819982067,None,510.52301837499544,510.5342185420013,510.5342185420013,510.7196835000068,510.72786658299447,510.72786658299447,511.5162170419935,511.50487575000443,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The dog is barking loudly,The barking dog loudly is,transposition_unrelated,left,94,14,5,left,1,1.0255961240036413,None,5,14,94,15,511.5162170419935,,,,,,,,,511.51147683299496,511.5374485000066,511.77103350000107,511.77903195799445,511.9709855419933,511.9709855419933,512.1588018750044,512.1714382500068,512.2598595419986,512.2712500829948,512.2712500829948,513.3064523749927,left,1,1.0255961240036413,None,513.3070389579952,513.3187533330056,513.3187533330056,513.504259207999,513.5106004580011,513.5106004580011,514.3018129580014,514.2872084999981,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
