thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
21,0,21,-2,up,0,1.0580333739926573,None,21,0,21,0,43.221462041983614,,43.21255633299006,43.221462041983614,44.20614141700207,44.21248324998305,45.27441199999885,-2,up,0,1.0580333739926573,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
22,0,22,0,down,0,1.0803265830036253,None,22,0,22,0,45.28421058299136,,45.274943957978394,45.28421058299136,46.27277066698298,46.27836070797639,47.35817558298004,0,down,0,1.0803265830036253,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
23,0,23,4,up,0,0.7830402500112541,None,23,0,23,0,47.368530541978544,,47.35910720800166,47.368530541978544,48.35606545797782,48.36091858299915,49.141671833000146,4,up,0,0.7830402500112541,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
24,0,24,3,up,0,0.9465377079905011,None,24,0,24,0,49.15186220800388,,49.14256079198094,49.15186220800388,50.139461582992226,50.14533050000318,51.09174949998851,3,up,0,0.9465377079905011,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
25,0,25,0,down,0,0.9335741660033818,None,25,0,25,0,51.1018331249943,,51.092329916980816,51.1018331249943,52.08940633299062,52.0951988750021,53.02935874997638,0,down,0,0.9335741660033818,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
26,0,26,0,up,1,0.9543161249894183,None,26,0,26,0,53.03823295800248,,53.029726957989624,53.03823295800248,54.02270462497836,54.02751220797654,54.979005250002956,0,up,1,0.9543161249894183,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
27,0,27,4,up,0,0.6765283739950974,None,27,0,27,0,54.98921404199791,,54.97973904199898,54.98921404199791,55.97239954199176,55.978660499997204,56.65806812499068,4,up,0,0.6765283739950974,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
28,0,28,0,down,0,0.9478481659898534,None,28,0,28,0,56.667783541983226,,56.65888920798898,56.667783541983226,57.65595108299749,57.661193124979036,58.60814337499323,0,down,0,0.9478481659898534,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
29,0,29,0,down,0,0.5918895829818211,None,29,0,29,0,58.618021707981825,,58.60892941697966,58.618021707981825,59.605981332977535,59.61155462497845,60.207920041983016,0,down,0,0.5918895829818211,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
30,0,30,0,down,0,0.68028695799876,None,30,0,30,0,60.21750933298608,,60.20846441699541,60.21750933298608,61.205556667002384,61.210204707982484,61.89159958300297,0,down,0,0.68028695799876,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
31,0,31,0,down,0,0.9704504999972414,None,31,0,31,0,61.90161899998202,,61.89240162499482,61.90161899998202,62.889332291990286,62.894975041999714,63.861319457995705,0,down,0,0.9704504999972414,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
32,0,32,0,down,0,0.6406793330097571,None,32,0,32,0,63.8728782919934,,63.861791000002995,63.8728782919934,64.85610529198311,64.86177462499472,65.50818929198431,0,down,0,0.6406793330097571,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
33,0,33,1,up,0,0.8287684989918489,None,33,0,33,0,65.5181208330032,,65.50904820798314,65.5181208330032,66.50593879199005,66.51155054199626,67.34127295800135,1,up,0,0.8287684989918489,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
34,0,34,0,down,0,1.6673061239998788,None,34,0,34,0,67.35112974999356,,67.34203983299085,67.35112974999356,68.33929591698688,68.34382220800035,70.01256279199151,0,down,0,1.6673061239998788,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
35,0,35,-4,up,0,0.7535364160139579,None,35,0,35,0,70.02181629199185,,70.01297745798365,70.02181629199185,71.01304779198836,71.01304779198836,71.77505137497792,-4,up,0,0.7535364160139579,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
36,0,36,4,up,0,0.7349809579900466,None,36,0,36,0,71.78543812499265,,71.77597749998677,71.78543812499265,72.77250666698092,72.77817970799515,73.5117649169988,4,up,0,0.7349809579900466,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
37,0,37,-4,up,0,1.0450849579938222,None,37,0,37,0,73.52231537498301,,73.51229783298913,73.52231537498301,74.50628375000088,74.51241891700192,75.55800891699619,-4,up,0,1.0450849579938222,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
38,0,38,-5,up,0,0.6982537080184557,None,38,0,38,0,75.56774587498512,,75.55879099998856,75.56774587498512,76.55616729200119,76.56255637499271,77.25805091697839,-5,up,0,0.6982537080184557,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
39,0,39,0,down,0,0.7403788329975214,None,39,0,39,0,77.26822329199058,,77.2586867499922,77.26822329199058,78.25601287500467,78.26247724998393,79.00810929198633,0,down,0,0.7403788329975214,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
40,0,40,-4,up,0,0.8283451659954153,None,40,0,40,0,79.01902074998361,,79.00902349999524,79.01902074998361,80.00606041698484,80.01172749997932,80.84134208300384,-4,up,0,0.8283451659954153,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
41,0,41,0,up,1,0.7650470410007983,None,41,0,41,0,80.85110958298901,,80.84213712500059,80.85110958298901,81.83927279198542,81.84490295799333,82.60744112500106,0,up,1,0.7650470410007983,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
42,0,42,0,down,0,0.9219027489889413,None,42,0,42,0,82.61759583299863,,82.60798483298277,82.61759583299863,83.60543104200042,83.61013762498624,84.52859174998594,0,down,0,0.9219027489889413,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
43,0,43,-3,up,0,0.7474209580104798,None,43,0,43,0,84.53920329199173,,84.52899658298702,84.53920329199173,85.52283800000441,85.52839074999793,86.27485358298873,-3,up,0,0.7474209580104798,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
