stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
11,1,1.0,19.24942112500139,,19.244730333004554,19.24942112500139,19.746603500003403,19.74273208300292,19.74273208300292,20.029761249999865,20.314121667004656,right,1.0,1,1,0.5682730830012588,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
12,1,1.0,20.326149958003953,,20.314413167005114,20.326149958003953,20.812879000004614,20.809263542003464,20.809263542003464,21.09634499999811,21.56461875000241,left,-1.0,1,1,0.750645332998829,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
13,0.5,0.0,21.575928625003144,,21.564875000003667,21.575928625003144,22.06353270800173,22.06353270800173,22.06353270800173,22.359356000000844,22.744564375003392,right,0.0,0,0,0.6704255829972681,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
14,0.5,0.5,22.75344604199927,,22.74503404200368,22.75344604199927,23.2467829169982,23.242724083000212,23.242724083000212,23.52914020800381,23.964202916999056,left,-0.5,1,1,0.718238499997824,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
15,0.5,0.5,23.976140083002974,,23.96446541700425,23.976140083002974,24.46362775000307,24.46362775000307,24.46362775000307,24.759229458002665,25.260002125003666,right,0.5,0,0,0.7822195830012788,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
16,0.5,1.0,25.26775254200038,,25.26036337500409,25.26775254200038,25.763125000004948,25.74744500000088,25.74744500000088,26.04606012500153,26.464735542002018,right,1.0,0,0,0.7124293329979992,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
17,0.5,1.5,26.47605220800324,,26.46500837500207,26.47605220800324,26.96399495800142,26.96399495800142,26.96399495800142,27.25913729199965,27.481073916998866,left,-1.5,0,0,0.5128332919994136,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
18,0.5,2.0,27.492787542003498,,27.48133812499873,27.492787542003498,27.979832417004218,27.97596883300139,27.97596883300139,28.26281362499867,28.627814958003,right,2.0,1,1,0.6478818749965285,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
19,0.5,2.0,28.63279662500281,,28.628175333004037,28.63279662500281,29.13052583300305,29.12601312500192,29.12601312500192,29.413395167001,29.71122891700361,left,-2.0,1,1,0.5716970419962308,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
20,0.5,2.0,29.7194874170018,,29.71161816699896,29.7194874170018,30.213215499999933,30.20942954200291,30.20942954200291,30.495682542001305,31.011206708004465,left,-2.0,1,1,0.789334917004453,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
21,0.5,1.5,31.019615666999016,,31.011616417003097,31.019615666999016,31.513230832999398,31.50940137499856,31.50940137499856,31.796561957999074,32.22777762500482,left,-1.5,1,1,0.7113239579994115,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
22,0.5,1.5,32.23681104199932,,32.228235499998846,32.23681104199932,32.730470458001946,32.72596175000217,32.72596175000217,33.01295404200209,33.4778450829981,left,-1.5,1,1,0.7386926249964745,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
23,0.5,1.5,33.48573925000528,,33.47813208300067,33.48573925000528,33.98046608300501,33.975903457998356,33.975903457998356,34.262588333003805,34.49459195799864,right,1.5,1,1,0.5057359579950571,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
24,0.5,1.0,34.50349724999978,,34.49504962500214,34.50349724999978,34.9969459999993,34.992602416998125,34.992602416998125,35.279957541999465,35.61122066700045,right,1.0,1,1,0.607088874996407,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
25,0.5,1.0,35.619480917004694,,35.61159970800509,35.619480917004694,36.11271645800298,36.109220667000045,36.109220667000045,36.39609891700093,36.74460995800473,right,1.0,1,1,0.6202787080037524,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
26,0.5,1.0,36.753148832998704,,36.74497849999898,36.753148832998704,37.246620958001586,37.24266370799887,37.24266370799887,37.529745375002676,38.07781991700176,left,-1.0,1,1,0.8319832920024055,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
27,0.5,0.5,38.085949917003745,,38.07818729200517,38.085949917003745,38.581197542000154,38.57611624999845,38.57611624999845,38.863152042002184,39.344546917003754,left,-0.5,1,1,0.7654768330030493,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
28,0.5,0.5,39.350103958000545,,39.34496387500258,39.350103958000545,39.84665408300498,39.842467208000016,39.842467208000016,40.130042625001806,40.58067012500396,right,0.5,1,1,0.736033082997892,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
29,0.5,0.5,40.59269150000182,,40.580918625004415,40.59269150000182,41.08041524999862,41.08041524999862,41.08041524999862,41.37958174999949,42.32787887500308,right,0.5,1,1,1.2441092090011807,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
30,0.5,0.0,42.33300791700458,,42.328244167001685,42.33300791700458,42.83028662500146,42.82595358300023,42.82595358300023,43.11392487500416,43.53110679200472,right,0.0,1,1,0.7004126249958063,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
31,0.5,0.0,43.54294820799987,,43.53135816700524,43.54294820799987,44.030672500004584,44.030672500004584,44.030672500004584,44.32603250000102,44.64432274999854,right,0.0,0,0,0.6026891660003457,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
32,0.5,0.5,44.65279641700181,,44.64464462500473,44.65279641700181,45.146107332999236,45.14251716700528,45.14251716700528,45.42949241700262,45.877810917001625,right,0.5,1,1,0.7259777910003322,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
33,0.5,0.5,45.886574083000596,,45.87828399999853,45.886574083000596,46.37989558299887,46.37603070800105,46.37603070800105,46.6639753749987,47.131200167001225,right,0.5,0,0,0.751302916003624,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
34,0.5,1.0,47.142740542003594,,47.131460707998485,47.142740542003594,47.63123308300419,47.63123308300419,47.63123308300419,47.929831792003824,48.444312792002165,left,-1.0,1,1,0.8071857920003822,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
35,0.5,1.0,48.45329983300326,,48.44469533300435,48.45329983300326,48.94649583299906,48.94259850000526,48.94259850000526,49.228857375004736,49.611139375003404,left,-1.0,1,1,0.6578161669967812,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
36,0.5,1.0,49.6193776670043,,49.61152737500379,49.6193776670043,50.112596541999665,50.10912266700325,50.10912266700325,50.39754029200412,50.69393345800199,right,1.0,1,1,0.5731930419933633,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
37,0.5,0.5,50.701125250001496,,50.694261958000425,50.701125250001496,51.198053125001024,51.19281808300002,51.19281808300002,51.4797555000041,51.894131291999656,right,0.5,0,0,0.6984176670011948,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
